date,open,high,low,close,volume
2014-06-06,36.6145,36.7734,36.4026,36.6145,24060500
2014-06-09,36.5350,36.6145,36.2084,36.4291,15019200
2014-06-10,36.2173,36.3320,36.0672,36.2879,15117700
2014-06-11,36.1290,36.2526,35.9834,36.0672,18040000
2014-06-12,36.0231,36.0849,35.5641,35.8201,29818900
2014-06-13,36.2791,36.6895,36.0672,36.3938,26310000
2014-06-16,36.2261,36.7292,36.2261,36.6321,24205300
2014-06-17,36.4468,36.9941,35.6038,36.7910,22518600
2014-06-18,36.7248,36.8440,36.3497,36.7646,27097000
2014-06-19,36.6939,36.8705,36.4822,36.6410,19828200
2014-06-20,36.5836,36.9234,36.5262,36.7910,47764900
2014-06-23,36.8352,37.0735,36.7999,37.0647,18743900
2014-06-24,36.9234,37.0205,36.6851,36.8484,26509100
2014-06-25,36.8087,37.1176,36.5968,37.1000,20049100
2014-06-26,37.0117,37.0205,36.5704,36.8263,23604400
2014-06-27,36.7292,37.3295,36.6410,37.2942,74640000
2014-06-30,37.2236,37.2589,36.8087,36.8087,30805500
2014-07-01,36.9499,37.2059,36.7999,36.9587,26917000
2014-07-02,36.8352,36.9852,36.6586,36.9852,20208100
2014-07-03,36.9941,37.0647,36.6851,36.8970,15969300
2014-07-07,36.8528,37.1794,36.8175,37.0647,21952400
2014-07-08,36.9587,37.0735,36.7292,36.8793,31218200
2014-07-09,37.0558,37.0647,36.6586,36.7822,18445900
2014-07-10,36.5174,37.0735,36.2349,36.7954,21854700
2014-07-11,36.8087,37.1529,36.6145,37.1529,24083000
2014-07-14,37.2677,37.4707,37.1088,37.1971,21881100
2014-07-15,37.3648,37.4884,37.1000,37.4707,28748700
2014-07-16,37.5237,39.1125,37.4972,38.9095,63318000
2014-07-17,40.1188,40.3483,39.0596,39.3067,82180300
2014-07-18,39.4127,39.5804,39.0596,39.4480,43407500
2014-07-21,39.3332,39.8628,39.0331,39.5760,37604400
2014-07-22,39.7216,39.8540,39.3597,39.5715,43095800
2014-07-23,40.1188,40.1188,39.3862,39.6069,52362900
2014-07-24,39.6598,39.7216,39.1214,39.1920,30725300
2014-07-25,39.1037,39.4215,39.1037,39.2803,26737700
2014-07-28,39.1567,39.2891,38.7771,38.8124,29684200
2014-07-29,38.7595,38.9183,38.5211,38.7374,27763100
2014-07-30,38.9007,38.9272,38.2122,38.4668,31921400
2014-07-31,38.2916,38.5653,38.0268,38.0974,31537500
2014-08-01,38.1416,38.1769,37.6031,37.8326,31170300
2014-08-04,37.9297,38.3711,37.7885,38.2828,34277400
2014-08-05,38.2298,38.3622,37.8061,38.0268,26266400
2014-08-06,37.7267,38.1063,37.2589,37.7267,24634000
2014-08-07,37.8150,38.3534,37.6473,38.1592,30314900
2014-08-08,38.1592,38.2343,37.8768,38.1327,28942700
2014-08-11,38.1857,38.3534,37.9739,38.1327,20351600
2014-08-12,37.9915,38.4770,37.9562,38.4152,21431100
2014-08-13,38.5564,38.9978,38.4152,38.9095,22889500
2014-08-14,38.9095,39.2070,38.8477,39.0772,19313200
2014-08-15,39.3509,39.6289,39.1920,39.5362,41611300
2014-08-18,39.6686,39.8187,39.4391,39.8187,26891100
2014-08-19,39.9403,40.2689,39.8160,40.2601,28139500
2014-08-20,40.2689,40.3222,39.8781,39.9226,24770500
2014-08-21,39.8249,40.1890,39.8160,40.1624,22272000
2014-08-22,40.2778,40.3844,40.0291,40.1002,18294500
2014-08-25,40.3222,40.3578,40.0025,40.1179,16898100
2014-08-26,40.2423,40.3178,39.9137,39.9714,14873100
2014-08-27,39.8781,39.9670,39.7538,39.8515,20823000
2014-08-28,39.7449,39.9492,39.6206,39.8604,17657600
2014-08-29,40.0469,40.3578,39.8382,40.3489,21607600
2014-09-02,40.3489,40.3755,39.8337,40.0469,22956800
2014-09-03,39.5495,40.0647,39.5495,39.9314,33684500
2014-09-04,39.7360,40.2068,39.7183,40.1979,26475500
2014-09-05,40.0647,40.7929,40.0647,40.7752,36882700
2014-09-08,40.8729,41.5656,40.8462,41.2726,45719000
2014-09-09,41.2726,41.7166,41.2281,41.5301,40255500
2014-09-10,41.5835,41.6900,41.1038,41.6012,27302400
2014-09-11,41.5124,41.7433,41.2726,41.7433,29216400
2014-09-12,41.6633,41.7610,41.3880,41.4724,38244700
2014-09-15,41.3347,41.4857,40.9439,41.0683,37630700
2014-09-16,41.2015,41.6100,41.1127,41.5301,27865200
2014-09-17,41.0860,41.4679,41.0594,41.3170,38249200
2014-09-18,41.3791,41.5923,41.2637,41.4591,35533100
2014-09-19,41.5745,42.2495,41.3880,42.2051,202522400
2014-09-22,42.0097,42.0808,41.7255,41.7966,38655900
2014-09-23,41.6100,41.7255,41.2726,41.3525,33430300
2014-09-24,41.4147,41.8410,41.1571,41.8143,26480359
2014-09-25,41.6367,41.8232,40.8818,40.8906,32777043
2014-09-26,40.7929,41.4058,40.6420,41.2193,27078764
2014-09-29,40.8374,41.3525,40.6420,41.2459,26090980
2014-09-30,41.1837,41.2781,40.8640,41.1749,33033086
2014-10-01,41.0949,41.3258,40.7175,40.7663,38088355
2014-10-02,40.7041,40.9439,40.5354,40.6420,25119508
2014-10-03,40.8374,41.1216,40.5087,40.9351,32453273
2014-10-06,40.9617,41.1216,40.7840,40.9351,20603960
2014-10-07,40.7308,40.7929,40.3400,40.4377,25724544
2014-10-08,40.3933,41.6456,40.2689,41.5479,33030972
2014-10-09,41.2992,41.5656,40.6242,40.7219,34426595
2014-10-10,40.4999,40.9617,39.0344,39.1055,51978146
2014-10-13,38.9189,39.5762,38.6258,38.7680,37100207
2014-10-14,38.9633,39.4163,38.6880,38.8390,38120558
2014-10-15,38.1907,38.5370,37.3913,38.3860,60220961
2014-10-16,37.7732,38.2617,37.4979,37.9597,49040989
2014-10-17,38.3683,39.0211,38.0041,38.7502,40683346
2014-10-20,38.2439,39.2031,38.0219,39.1499,34530887
2014-10-21,39.3985,39.9448,39.2476,39.8604,36433824
2014-10-22,39.9670,40.0291,39.2786,39.4163,33579817
2014-10-23,39.6295,40.3622,39.5495,39.9847,45451869
2014-10-24,41.5923,41.6545,40.1268,40.9706,61081039
2014-10-27,40.5976,40.9439,40.5976,40.7752,30371308
2014-10-28,40.7308,41.2992,40.6508,41.2903,29049750
2014-10-29,41.2459,41.4768,41.1571,41.4058,30283622
2014-10-30,41.1393,41.1393,40.6508,40.8995,30073873
2014-10-31,41.6900,41.7166,41.2814,41.6989,35849656
2014-11-03,41.6456,42.1518,41.5035,42.1341,23130397
2014-11-04,42.0106,42.3916,41.9653,42.2495,21530813
2014-11-05,42.4538,42.5426,41.9742,42.5071,22449594
2014-11-06,42.5071,43.3952,42.4449,43.2531,33037841
2014-11-07,43.4485,43.4485,42.8891,43.2354,28000598
2014-11-10,43.2087,43.6528,43.1199,43.4219,36370067
2014-11-11,43.3864,43.4574,43.2043,43.4041,23445239
2014-11-12,43.1288,43.4485,43.0933,43.3242,22722123
2014-11-13,43.3508,44.0924,43.2576,44.0614,26210433
2014-11-14,44.1768,44.4477,43.8660,44.0347,29081657
2014-11-17,43.8837,44.1457,43.6439,43.9281,30318648
2014-11-18,43.9126,44.0869,43.5282,43.5640,23996457
2014-11-19,43.4925,43.5773,42.8400,43.0992,26177450
2014-11-20,42.9026,43.5282,42.7864,43.5282,21510587
2014-11-21,43.8143,43.8411,42.5182,42.8847,42884795
2014-11-24,42.8936,42.9026,42.3574,42.5361,35434245
